PROVINSI,date,tempat_rekreasi,pusat_perbelanjaan_dan_apotek,taman,stasiun_transit,perkantoran,perumahan
PROVINSI ACEH,2020-02-15,-1,-2,-7,-3,3,2
PROVINSI ACEH,2020-02-16,4,3,5,4,3,1
PROVINSI ACEH,2020-02-17,4,1,5,10,8,0
PROVINSI ACEH,2020-02-18,0,-1,0,0,5,1
PROVINSI ACEH,2020-02-19,-2,-3,2,4,6,1
PROVINSI ACEH,2020-02-20,2,2,7,0,6,0
PROVINSI ACEH,2020-02-21,-1,-1,8,2,5,1
PROVINSI ACEH,2020-02-22,0,-2,4,-2,6,1
PROVINSI ACEH,2020-02-23,0,-1,3,4,4,2
PROVINSI ACEH,2020-02-24,1,-2,1,2,9,1
PROVINSI ACEH,2020-02-25,-2,-1,1,-4,8,1
PROVINSI ACEH,2020-02-26,-2,-2,2,-2,8,1
PROVINSI ACEH,2020-02-27,0,0,1,-1,8,1
PROVINSI ACEH,2020-02-28,-1,-1,0,0,8,1
PROVINSI ACEH,2020-02-29,0,-1,4,-4,9,0
PROVINSI ACEH,2020-03-01,3,2,12,-2,5,2
PROVINSI ACEH,2020-03-02,6,5,5,5,10,0
PROVINSI ACEH,2020-03-03,4,7,5,5,9,0
PROVINSI ACEH,2020-03-04,4,6,8,9,8,0
PROVINSI ACEH,2020-03-05,4,7,3,8,7,0
PROVINSI ACEH,2020-03-06,2,5,4,4,7,1
PROVINSI ACEH,2020-03-07,6,8,14,5,7,0
PROVINSI ACEH,2020-03-08,5,5,10,3,4,1
PROVINSI ACEH,2020-03-09,7,4,8,12,9,0
PROVINSI ACEH,2020-03-10,0,-2,-3,6,7,2
PROVINSI ACEH,2020-03-11,4,5,4,9,8,0
PROVINSI ACEH,2020-03-12,3,5,3,2,7,1
PROVINSI ACEH,2020-03-13,2,4,4,5,8,1
PROVINSI ACEH,2020-03-14,2,3,3,6,9,1
PROVINSI ACEH,2020-03-15,0,4,-2,-2,5,2
PROVINSI ACEH,2020-03-16,-1,6,-7,3,-3,4
PROVINSI ACEH,2020-03-17,-4,4,-6,10,-11,5
PROVINSI ACEH,2020-03-18,-4,3,-3,-3,-11,5
PROVINSI ACEH,2020-03-19,-5,4,-4,-6,-12,5
PROVINSI ACEH,2020-03-20,-9,1,-7,-16,-13,6
PROVINSI ACEH,2020-03-21,-11,-3,-17,-23,-12,7
PROVINSI ACEH,2020-03-22,-14,-6,-23,-32,2,6
PROVINSI ACEH,2020-03-23,-14,-2,-13,-25,-16,8
PROVINSI ACEH,2020-03-24,-21,-4,-18,-27,-21,9
PROVINSI ACEH,2020-03-25,-28,-13,-21,-35,-44,15
PROVINSI ACEH,2020-03-26,-31,-14,-30,-38,-24,12
PROVINSI ACEH,2020-03-27,-29,-7,-23,-30,-25,11
PROVINSI ACEH,2020-03-28,-36,-14,-40,-31,-22,12
PROVINSI ACEH,2020-03-29,-39,-21,-47,-43,-10,13
PROVINSI ACEH,2020-03-30,-40,-25,-33,-40,-29,13
PROVINSI ACEH,2020-03-31,-41,-25,-32,-41,-30,13
PROVINSI ACEH,2020-04-01,-39,-23,-31,-43,-29,13
PROVINSI ACEH,2020-04-02,-36,-18,-28,-45,-29,12
PROVINSI ACEH,2020-04-03,-37,-22,-32,-50,-28,13
PROVINSI ACEH,2020-04-04,-34,-19,-39,-51,-22,12
PROVINSI ACEH,2020-04-05,-28,-19,-40,-53,-4,10
PROVINSI ACEH,2020-04-06,-27,-20,-30,-49,-24,12
PROVINSI ACEH,2020-04-07,-21,-10,-20,-42,-24,9
PROVINSI ACEH,2020-04-08,-26,-16,-25,-45,-25,10
PROVINSI ACEH,2020-04-09,-23,-12,-23,-47,-24,9
PROVINSI ACEH,2020-04-10,-26,-17,-23,-51,-43,13
PROVINSI ACEH,2020-04-11,-24,-15,-31,-50,-19,10
PROVINSI ACEH,2020-04-12,-27,-21,-40,-55,-2,10
PROVINSI ACEH,2020-04-13,-19,-12,-21,-46,-21,9
PROVINSI ACEH,2020-04-14,-20,-11,-19,-43,-22,9
PROVINSI ACEH,2020-04-15,-20,-10,-18,-44,-22,9
PROVINSI ACEH,2020-04-16,-18,-7,-16,-44,-22,9
PROVINSI ACEH,2020-04-17,-22,-13,-22,-48,-22,10
PROVINSI ACEH,2020-04-18,-19,-8,-26,-43,-14,8
PROVINSI ACEH,2020-04-19,-19,-9,-27,-45,2,7
PROVINSI ACEH,2020-04-20,-11,0,-9,-37,-18,7
PROVINSI ACEH,2020-04-21,-12,3,-10,-35,-20,6
PROVINSI ACEH,2020-04-22,-11,8,-7,-33,-24,5
PROVINSI ACEH,2020-04-23,-19,6,-9,-40,-35,8
