LOKASI,RUPIAH,TAHUN
PROVINSI ACEH,90133114622,2020
PROVINSI ACEH,95873176583,2021
PROVINSI BALI,35434781866,2020
PROVINSI BALI,24932000765,2021
PROVINSI BANTEN,82549223481,2020
PROVINSI BANTEN,115046810734,2021
PROVINSI BENGKULU,22321374591,2020
PROVINSI BENGKULU,66119282536,2021
PROVINSI DI YOGYAKARTA,24522814216,2020
PROVINSI DI YOGYAKARTA,52684925062,2021
PROVINSI DKI JAKARTA,5219464109830,2020
PROVINSI DKI JAKARTA,2715449438838,2021
PROVINSI GORONTALO,24073674964,2020
PROVINSI GORONTALO,73363273512,2021
PROVINSI JAMBI,12148041901,2020
PROVINSI JAMBI,71809847455,2021
PROVINSI JAWA BARAT,21277855847,2020
PROVINSI JAWA BARAT,108800001044,2021
PROVINSI JAWA TENGAH,18934874210,2020
PROVINSI JAWA TENGAH,168651290053,2021
PROVINSI JAWA TIMUR,19359495265,2020
PROVINSI JAWA TIMUR,250939139480,2021
PROVINSI KALIMANTAN BARAT,9092953040,2020
PROVINSI KALIMANTAN BARAT,45757730677,2021
PROVINSI KALIMANTAN SELATAN,11073415473,2020
PROVINSI KALIMANTAN SELATAN,361688719518,2021
PROVINSI KALIMANTAN TENGAH,13182149115,2020
PROVINSI KALIMANTAN TENGAH,351139195401,2021
PROVINSI KALIMANTAN TIMUR,10293763446,2020
PROVINSI KALIMANTAN TIMUR,91570270902,2021
PROVINSI KALIMANTAN UTARA,6981314413,2020
PROVINSI KALIMANTAN UTARA,19267831176,2021
PROVINSI KEPULAUAN BANGKA BELITUNG,9671651656,2020
PROVINSI KEPULAUAN BANGKA BELITUNG,62664154227,2021
PROVINSI KEPULAUAN RIAU,12251371828,2020
PROVINSI KEPULAUAN RIAU,38063283074,2021
PROVINSI LAMPUNG,8413541124,2020
PROVINSI LAMPUNG,117732815983,2021
PROVINSI MALUKU,7534735657,2020
PROVINSI MALUKU,53628759280,2021
PROVINSI MALUKU UTARA,18877496752,2020
PROVINSI MALUKU UTARA,57279839764,2021
PROVINSI NUSA TENGGARA BARAT,14700824380,2020
PROVINSI NUSA TENGGARA BARAT,55964919644,2021
PROVINSI NUSA TENGGARA TIMUR,17492909792,2020
PROVINSI NUSA TENGGARA TIMUR,90268943543,2021
PROVINSI PAPUA,12964276616,2020
PROVINSI PAPUA,43393116239,2021
PROVINSI PAPUA BARAT,29148533672,2020
PROVINSI PAPUA BARAT,59368754578,2021
PROVINSI RIAU,9658660997,2020
PROVINSI RIAU,39091512099,2021
PROVINSI SULAWESI BARAT,46615123123,2020
PROVINSI SULAWESI BARAT,76522916203,2021
PROVINSI SULAWESI SELATAN,19850556454,2020
PROVINSI SULAWESI SELATAN,184670913827,2021
PROVINSI SULAWESI TENGAH,15934898736,2020
PROVINSI SULAWESI TENGAH,82730509721,2021
PROVINSI SULAWESI TENGGARA,10038404608,2020
PROVINSI SULAWESI TENGGARA,93087260938,2021
PROVINSI SULAWESI UTARA,13167937941,2020
PROVINSI SULAWESI UTARA,44388206846,2021
PROVINSI SUMATERA BARAT,9698151763,2020
PROVINSI SUMATERA BARAT,55811750991,2021
PROVINSI SUMATERA SELATAN,11476989340,2020
PROVINSI SUMATERA SELATAN,148898327145,2021
PROVINSI SUMATERA UTARA,18793002282,2020
PROVINSI SUMATERA UTARA,61483353030,2021
